model,method,as_of_session,decision_session,p10,group,Y10
M0,equal_width,2020-09-10,2020-09-11,0.0885286783042394,1,0
M0,equal_width,2020-09-11,2020-09-14,0.0885286783042394,1,0
M0,equal_width,2020-09-14,2020-09-15,0.0885286783042394,1,0
M0,equal_width,2020-09-15,2020-09-16,0.0885286783042394,1,0
M0,equal_width,2020-09-16,2020-09-17,0.0885286783042394,1,0
M0,equal_width,2020-09-17,2020-09-18,0.0885286783042394,1,0
M0,equal_width,2020-09-18,2020-09-21,0.0885286783042394,1,0
M0,equal_width,2020-09-21,2020-09-22,0.0885286783042394,1,0
M0,equal_width,2020-09-22,2020-09-23,0.0885286783042394,1,0
M0,equal_width,2020-09-23,2020-09-24,0.0885286783042394,1,0
M0,equal_width,2020-09-24,2020-09-25,0.0885286783042394,1,0
M0,equal_width,2020-09-25,2020-09-28,0.0885286783042394,1,0
M0,equal_width,2020-09-28,2020-09-29,0.0885286783042394,1,0
M0,equal_width,2020-09-29,2020-09-30,0.0885286783042394,1,0
M0,equal_width,2020-09-30,2020-10-01,0.0855421686746988,1,0
M0,equal_width,2020-10-01,2020-10-02,0.0855421686746988,1,0
M0,equal_width,2020-10-02,2020-10-05,0.0855421686746988,1,0
M0,equal_width,2020-10-05,2020-10-06,0.0855421686746988,1,0
M0,equal_width,2020-10-06,2020-10-07,0.0855421686746988,1,0
M0,equal_width,2020-10-07,2020-10-08,0.0855421686746988,1,0
M0,equal_width,2020-10-08,2020-10-09,0.0855421686746988,1,0
M0,equal_width,2020-10-09,2020-10-12,0.0855421686746988,1,0
M0,equal_width,2020-10-12,2020-10-13,0.0855421686746988,1,0
M0,equal_width,2020-10-13,2020-10-14,0.0855421686746988,1,0
M0,equal_width,2020-10-14,2020-10-15,0.0855421686746988,1,0
M0,equal_width,2020-10-15,2020-10-16,0.0855421686746988,1,0
M0,equal_width,2020-10-16,2020-10-19,0.0855421686746988,1,0
M0,equal_width,2020-10-19,2020-10-20,0.0855421686746988,1,0
M0,equal_width,2020-10-20,2020-10-21,0.0855421686746988,1,1
M0,equal_width,2020-10-21,2020-10-22,0.0855421686746988,1,1
M0,equal_width,2020-10-22,2020-10-23,0.0855421686746988,1,1
M0,equal_width,2020-10-23,2020-10-26,0.0855421686746988,1,0
M0,equal_width,2020-10-26,2020-10-27,0.0855421686746988,1,0
M0,equal_width,2020-10-27,2020-10-28,0.0855421686746988,1,0
M0,equal_width,2020-10-28,2020-10-29,0.0855421686746988,1,0
M0,equal_width,2020-10-29,2020-10-30,0.0855421686746988,1,0
M0,equal_width,2020-10-30,2020-11-02,0.08810068649885582,1,0
M0,equal_width,2020-11-02,2020-11-03,0.08810068649885582,1,0
M0,equal_width,2020-11-03,2020-11-04,0.08810068649885582,1,0
M0,equal_width,2020-11-04,2020-11-05,0.08810068649885582,1,0
M0,equal_width,2020-11-05,2020-11-06,0.08810068649885582,1,0
M0,equal_width,2020-11-06,2020-11-09,0.08810068649885582,1,0
M0,equal_width,2020-11-09,2020-11-10,0.08810068649885582,1,0
M0,equal_width,2020-11-10,2020-11-11,0.08810068649885582,1,0
M0,equal_width,2020-11-11,2020-11-12,0.08810068649885582,1,0
M0,equal_width,2020-11-12,2020-11-13,0.08810068649885582,1,0
M0,equal_width,2020-11-13,2020-11-16,0.08810068649885582,1,0
M0,equal_width,2020-11-16,2020-11-17,0.08810068649885582,1,0
M0,equal_width,2020-11-17,2020-11-18,0.08810068649885582,1,0
M0,equal_width,2020-11-18,2020-11-19,0.08810068649885582,1,0
M0,equal_width,2020-11-19,2020-11-20,0.08810068649885582,1,0
M0,equal_width,2020-11-20,2020-11-23,0.08810068649885582,1,0
M0,equal_width,2020-11-23,2020-11-24,0.08810068649885582,1,0
M0,equal_width,2020-11-24,2020-11-25,0.08810068649885582,1,0
M0,equal_width,2020-11-25,2020-11-27,0.08810068649885582,1,0
M0,equal_width,2020-11-27,2020-11-30,0.08810068649885582,1,0
M0,equal_width,2020-11-30,2020-12-01,0.08424507658643328,1,0
M0,equal_width,2020-12-01,2020-12-02,0.08424507658643328,1,0
M0,equal_width,2020-12-02,2020-12-03,0.08424507658643328,1,0
M0,equal_width,2020-12-03,2020-12-04,0.08424507658643328,1,0
M0,equal_width,2020-12-04,2020-12-07,0.08424507658643328,1,0
M0,equal_width,2020-12-07,2020-12-08,0.08424507658643328,1,0
M0,equal_width,2020-12-08,2020-12-09,0.08424507658643328,1,0
M0,equal_width,2020-12-09,2020-12-10,0.08424507658643328,1,0
M0,equal_width,2020-12-10,2020-12-11,0.08424507658643328,1,0
M0,equal_width,2020-12-11,2020-12-14,0.08424507658643328,1,0
M0,equal_width,2020-12-14,2020-12-15,0.08424507658643328,1,0
M0,equal_width,2020-12-15,2020-12-16,0.08424507658643328,1,0
M0,equal_width,2020-12-16,2020-12-17,0.08424507658643328,1,0
M0,equal_width,2020-12-17,2020-12-18,0.08424507658643328,1,0
M0,equal_width,2020-12-18,2020-12-21,0.08424507658643328,1,0
M0,equal_width,2020-12-21,2020-12-22,0.08424507658643328,1,0
M0,equal_width,2020-12-22,2020-12-23,0.08424507658643328,1,0
M0,equal_width,2020-12-23,2020-12-24,0.08424507658643328,1,0
M0,equal_width,2020-12-24,2020-12-28,0.08424507658643328,1,0
M0,equal_width,2020-12-28,2020-12-29,0.08424507658643328,1,0
M0,equal_width,2020-12-29,2020-12-30,0.08424507658643328,1,0
M0,equal_width,2020-12-30,2020-12-31,0.08424507658643328,1,0
M0,equal_width,2020-12-31,2021-01-04,0.08037578288100208,1,0
M0,equal_width,2021-01-04,2021-01-05,0.08037578288100208,1,0
M0,equal_width,2021-01-05,2021-01-06,0.08037578288100208,1,0
M0,equal_width,2021-01-06,2021-01-07,0.08037578288100208,1,0
M0,equal_width,2021-01-07,2021-01-08,0.08037578288100208,1,0
M0,equal_width,2021-01-08,2021-01-11,0.08037578288100208,1,0
M0,equal_width,2021-01-11,2021-01-12,0.08037578288100208,1,0
M0,equal_width,2021-01-12,2021-01-13,0.08037578288100208,1,0
M0,equal_width,2021-01-13,2021-01-14,0.08037578288100208,1,0
M0,equal_width,2021-01-14,2021-01-15,0.08037578288100208,1,0
M0,equal_width,2021-01-15,2021-01-19,0.08037578288100208,1,0
M0,equal_width,2021-01-19,2021-01-20,0.08037578288100208,1,1
M0,equal_width,2021-01-20,2021-01-21,0.08037578288100208,1,1
M0,equal_width,2021-01-21,2021-01-22,0.08037578288100208,1,1
M0,equal_width,2021-01-22,2021-01-25,0.08037578288100208,1,1
M0,equal_width,2021-01-25,2021-01-26,0.08037578288100208,1,1
M0,equal_width,2021-01-26,2021-01-27,0.08037578288100208,1,0
M0,equal_width,2021-01-27,2021-01-28,0.08037578288100208,1,0
M0,equal_width,2021-01-28,2021-01-29,0.08037578288100208,1,0
M0,equal_width,2021-01-29,2021-02-01,0.08333333333333331,1,0
M0,equal_width,2021-02-01,2021-02-02,0.08333333333333331,1,0
M0,equal_width,2021-02-02,2021-02-03,0.08333333333333331,1,0
M0,equal_width,2021-02-03,2021-02-04,0.08333333333333331,1,0
M0,equal_width,2021-02-04,2021-02-05,0.08333333333333331,1,0
M0,equal_width,2021-02-05,2021-02-08,0.08333333333333331,1,0
M0,equal_width,2021-02-08,2021-02-09,0.08333333333333331,1,0
M0,equal_width,2021-02-09,2021-02-10,0.08333333333333331,1,0
M0,equal_width,2021-02-10,2021-02-11,0.08333333333333331,1,0
M0,equal_width,2021-02-11,2021-02-12,0.08333333333333331,1,0
M0,equal_width,2021-02-12,2021-02-16,0.08333333333333331,1,0
M0,equal_width,2021-02-16,2021-02-17,0.08333333333333331,1,0
M0,equal_width,2021-02-17,2021-02-18,0.08333333333333331,1,0
M0,equal_width,2021-02-18,2021-02-19,0.08333333333333331,1,0
M0,equal_width,2021-02-19,2021-02-22,0.08333333333333331,1,0
M0,equal_width,2021-02-22,2021-02-23,0.08333333333333331,1,0
M0,equal_width,2021-02-23,2021-02-24,0.08333333333333331,1,0
M0,equal_width,2021-02-24,2021-02-25,0.08333333333333331,1,0
M0,equal_width,2021-02-25,2021-02-26,0.08333333333333331,1,0
M0,equal_width,2021-02-26,2021-03-01,0.08413926499032882,1,0
M0,equal_width,2021-03-01,2021-03-02,0.08413926499032882,1,0
M0,equal_width,2021-03-02,2021-03-03,0.08413926499032882,1,0
M0,equal_width,2021-03-03,2021-03-04,0.08413926499032882,1,0
M0,equal_width,2021-03-04,2021-03-05,0.08413926499032882,1,0
M0,equal_width,2021-03-05,2021-03-08,0.08413926499032882,1,0
M0,equal_width,2021-03-08,2021-03-09,0.08413926499032882,1,0
M0,equal_width,2021-03-09,2021-03-10,0.08413926499032882,1,0
M0,equal_width,2021-03-10,2021-03-11,0.08413926499032882,1,0
M0,equal_width,2021-03-11,2021-03-12,0.08413926499032882,1,0
M0,equal_width,2021-03-12,2021-03-15,0.08413926499032882,1,0
M0,equal_width,2021-03-15,2021-03-16,0.08413926499032882,1,0
M0,equal_width,2021-03-16,2021-03-17,0.08413926499032882,1,0
M0,equal_width,2021-03-17,2021-03-18,0.08413926499032882,1,0
M0,equal_width,2021-03-18,2021-03-19,0.08413926499032882,1,0
M0,equal_width,2021-03-19,2021-03-22,0.08413926499032882,1,0
M0,equal_width,2021-03-22,2021-03-23,0.08413926499032882,1,0
M0,equal_width,2021-03-23,2021-03-24,0.08413926499032882,1,0
M0,equal_width,2021-03-24,2021-03-25,0.08413926499032882,1,0
M0,equal_width,2021-03-25,2021-03-26,0.08413926499032882,1,0
M0,equal_width,2021-03-26,2021-03-29,0.08413926499032882,1,0
M0,equal_width,2021-03-29,2021-03-30,0.08413926499032882,1,0
M0,equal_width,2021-03-30,2021-03-31,0.08413926499032882,1,0
M0,equal_width,2021-03-31,2021-04-01,0.08055555555555556,1,0
M0,equal_width,2021-04-01,2021-04-05,0.08055555555555556,1,0
M0,equal_width,2021-04-05,2021-04-06,0.08055555555555556,1,0
M0,equal_width,2021-04-06,2021-04-07,0.08055555555555556,1,0
M0,equal_width,2021-04-07,2021-04-08,0.08055555555555556,1,0
M0,equal_width,2021-04-08,2021-04-09,0.08055555555555556,1,0
M0,equal_width,2021-04-09,2021-04-12,0.08055555555555556,1,0
M0,equal_width,2021-04-12,2021-04-13,0.08055555555555556,1,0
M0,equal_width,2021-04-13,2021-04-14,0.08055555555555556,1,0
M0,equal_width,2021-04-14,2021-04-15,0.08055555555555556,1,0
M0,equal_width,2021-04-15,2021-04-16,0.08055555555555556,1,0
M0,equal_width,2021-04-16,2021-04-19,0.08055555555555556,1,0
M0,equal_width,2021-04-19,2021-04-20,0.08055555555555556,1,0
M0,equal_width,2021-04-20,2021-04-21,0.08055555555555556,1,0
M0,equal_width,2021-04-21,2021-04-22,0.08055555555555556,1,0
M0,equal_width,2021-04-22,2021-04-23,0.08055555555555556,1,0
M0,equal_width,2021-04-23,2021-04-26,0.08055555555555556,1,0
M0,equal_width,2021-04-26,2021-04-27,0.08055555555555556,1,0
M0,equal_width,2021-04-27,2021-04-28,0.08055555555555556,1,0
M0,equal_width,2021-04-28,2021-04-29,0.08055555555555556,1,0
M0,equal_width,2021-04-29,2021-04-30,0.08055555555555556,1,0
M0,equal_width,2021-04-30,2021-05-03,0.07754010695187168,1,0
M0,equal_width,2021-05-03,2021-05-04,0.07754010695187168,1,0
M0,equal_width,2021-05-04,2021-05-05,0.07754010695187168,1,1
M0,equal_width,2021-05-05,2021-05-06,0.07754010695187168,1,1
M0,equal_width,2021-05-06,2021-05-07,0.07754010695187168,1,1
M0,equal_width,2021-05-07,2021-05-10,0.07754010695187168,1,1
M0,equal_width,2021-05-10,2021-05-11,0.07754010695187168,1,0
M0,equal_width,2021-05-11,2021-05-12,0.07754010695187168,1,0
M0,equal_width,2021-05-12,2021-05-13,0.07754010695187168,1,0
M0,equal_width,2021-05-13,2021-05-14,0.07754010695187168,1,0
M0,equal_width,2021-05-14,2021-05-17,0.07754010695187168,1,0
M0,equal_width,2021-05-17,2021-05-18,0.07754010695187168,1,0
M0,equal_width,2021-05-18,2021-05-19,0.07754010695187168,1,0
M0,equal_width,2021-05-19,2021-05-20,0.07754010695187168,1,0
M0,equal_width,2021-05-20,2021-05-21,0.07754010695187168,1,0
M0,equal_width,2021-05-21,2021-05-24,0.07754010695187168,1,0
M0,equal_width,2021-05-24,2021-05-25,0.07754010695187168,1,0
M0,equal_width,2021-05-25,2021-05-26,0.07754010695187168,1,0
M0,equal_width,2021-05-26,2021-05-27,0.07754010695187168,1,0
M0,equal_width,2021-05-27,2021-05-28,0.07754010695187168,1,0
M0,equal_width,2021-05-28,2021-06-01,0.0817555938037866,1,0
M0,equal_width,2021-06-01,2021-06-02,0.0817555938037866,1,0
M0,equal_width,2021-06-02,2021-06-03,0.0817555938037866,1,0
M0,equal_width,2021-06-03,2021-06-04,0.0817555938037866,1,0
M0,equal_width,2021-06-04,2021-06-07,0.0817555938037866,1,0
M0,equal_width,2021-06-07,2021-06-08,0.0817555938037866,1,0
M0,equal_width,2021-06-08,2021-06-09,0.0817555938037866,1,0
M0,equal_width,2021-06-09,2021-06-10,0.0817555938037866,1,0
M0,equal_width,2021-06-10,2021-06-11,0.0817555938037866,1,0
M0,equal_width,2021-06-11,2021-06-14,0.0817555938037866,1,0
M0,equal_width,2021-06-14,2021-06-15,0.0817555938037866,1,0
M0,equal_width,2021-06-15,2021-06-16,0.0817555938037866,1,0
M0,equal_width,2021-06-16,2021-06-17,0.0817555938037866,1,0
M0,equal_width,2021-06-17,2021-06-18,0.0817555938037866,1,0
M0,equal_width,2021-06-18,2021-06-21,0.0817555938037866,1,0
M0,equal_width,2021-06-21,2021-06-22,0.0817555938037866,1,0
M0,equal_width,2021-06-22,2021-06-23,0.0817555938037866,1,0
M0,equal_width,2021-06-23,2021-06-24,0.0817555938037866,1,0
M0,equal_width,2021-06-24,2021-06-25,0.0817555938037866,1,0
M0,equal_width,2021-06-25,2021-06-28,0.0817555938037866,1,0
M0,equal_width,2021-06-28,2021-06-29,0.0817555938037866,1,0
M0,equal_width,2021-06-29,2021-06-30,0.0817555938037866,1,0
M0,equal_width,2021-06-30,2021-07-01,0.07877280265339967,1,0
M0,equal_width,2021-07-01,2021-07-02,0.07877280265339967,1,0
M0,equal_width,2021-07-02,2021-07-06,0.07877280265339967,1,0
M0,equal_width,2021-07-06,2021-07-07,0.07877280265339967,1,0
M0,equal_width,2021-07-07,2021-07-08,0.07877280265339967,1,0
M0,equal_width,2021-07-08,2021-07-09,0.07877280265339967,1,0
M0,equal_width,2021-07-09,2021-07-12,0.07877280265339967,1,0
M0,equal_width,2021-07-12,2021-07-13,0.07877280265339967,1,0
M0,equal_width,2021-07-13,2021-07-14,0.07877280265339967,1,0
M0,equal_width,2021-07-14,2021-07-15,0.07877280265339967,1,0
M0,equal_width,2021-07-15,2021-07-16,0.07877280265339967,1,0
M0,equal_width,2021-07-16,2021-07-19,0.07877280265339967,1,0
M0,equal_width,2021-07-19,2021-07-20,0.07877280265339967,1,0
M0,equal_width,2021-07-20,2021-07-21,0.07877280265339967,1,0
M0,equal_width,2021-07-21,2021-07-22,0.07877280265339967,1,0
M0,equal_width,2021-07-22,2021-07-23,0.07877280265339967,1,0
M0,equal_width,2021-07-23,2021-07-26,0.07877280265339967,1,0
M0,equal_width,2021-07-26,2021-07-27,0.07877280265339967,1,0
M0,equal_width,2021-07-27,2021-07-28,0.07877280265339967,1,0
M0,equal_width,2021-07-28,2021-07-29,0.07877280265339967,1,0
M0,equal_width,2021-07-29,2021-07-30,0.07877280265339967,1,0
M0,equal_width,2021-07-30,2021-08-02,0.07612179487179487,1,0
M0,equal_width,2021-08-02,2021-08-03,0.07612179487179487,1,0
M0,equal_width,2021-08-03,2021-08-04,0.07612179487179487,1,0
M0,equal_width,2021-08-04,2021-08-05,0.07612179487179487,1,0
M0,equal_width,2021-08-05,2021-08-06,0.07612179487179487,1,0
M0,equal_width,2021-08-06,2021-08-09,0.07612179487179487,1,0
M0,equal_width,2021-08-09,2021-08-10,0.07612179487179487,1,0
M0,equal_width,2021-08-10,2021-08-11,0.07612179487179487,1,0
M0,equal_width,2021-08-11,2021-08-12,0.07612179487179487,1,0
M0,equal_width,2021-08-12,2021-08-13,0.07612179487179487,1,0
M0,equal_width,2021-08-13,2021-08-16,0.07612179487179487,1,0
M0,equal_width,2021-08-16,2021-08-17,0.07612179487179487,1,0
M0,equal_width,2021-08-17,2021-08-18,0.07612179487179487,1,0
M0,equal_width,2021-08-18,2021-08-19,0.07612179487179487,1,0
M0,equal_width,2021-08-19,2021-08-20,0.07612179487179487,1,0
M0,equal_width,2021-08-20,2021-08-23,0.07612179487179487,1,0
M0,equal_width,2021-08-23,2021-08-24,0.07612179487179487,1,0
M0,equal_width,2021-08-24,2021-08-25,0.07612179487179487,1,0
M0,equal_width,2021-08-25,2021-08-26,0.07612179487179487,1,0
M0,equal_width,2021-08-26,2021-08-27,0.07612179487179487,1,0
M0,equal_width,2021-08-27,2021-08-30,0.07612179487179487,1,0
M0,equal_width,2021-08-30,2021-08-31,0.07612179487179487,1,0
M0,equal_width,2021-08-31,2021-09-01,0.07352941176470587,1,0
M0,equal_width,2021-09-01,2021-09-02,0.07352941176470587,1,0
M0,equal_width,2021-09-02,2021-09-03,0.07352941176470587,1,0
M0,equal_width,2021-09-03,2021-09-07,0.07352941176470587,1,0
M0,equal_width,2021-09-07,2021-09-08,0.07352941176470587,1,0
M0,equal_width,2021-09-08,2021-09-09,0.07352941176470587,1,0
M0,equal_width,2021-09-09,2021-09-10,0.07352941176470587,1,0
M0,equal_width,2021-09-10,2021-09-13,0.07352941176470587,1,0
M0,equal_width,2021-09-13,2021-09-14,0.07352941176470587,1,0
M0,equal_width,2021-09-14,2021-09-15,0.07352941176470587,1,0
M0,equal_width,2021-09-15,2021-09-16,0.07352941176470587,1,0
M0,equal_width,2021-09-16,2021-09-17,0.07352941176470587,1,0
M0,equal_width,2021-09-17,2021-09-20,0.07352941176470587,1,0
M0,equal_width,2021-09-20,2021-09-21,0.07352941176470587,1,0
M0,equal_width,2021-09-21,2021-09-22,0.07352941176470587,1,0
M0,equal_width,2021-09-22,2021-09-23,0.07352941176470587,1,0
M0,equal_width,2021-09-23,2021-09-24,0.07352941176470587,1,0
M0,equal_width,2021-09-24,2021-09-27,0.07352941176470587,1,0
M0,equal_width,2021-09-27,2021-09-28,0.07352941176470587,1,0
M0,equal_width,2021-09-28,2021-09-29,0.07352941176470587,1,0
M0,equal_width,2021-09-29,2021-09-30,0.07352941176470587,1,0
M0,equal_width,2021-09-30,2021-10-01,0.0712143928035982,1,0
M0,equal_width,2021-10-01,2021-10-04,0.0712143928035982,1,0
M0,equal_width,2021-10-04,2021-10-05,0.0712143928035982,1,0
M0,equal_width,2021-10-05,2021-10-06,0.0712143928035982,1,0
M0,equal_width,2021-10-06,2021-10-07,0.0712143928035982,1,0
M0,equal_width,2021-10-07,2021-10-08,0.0712143928035982,1,0
M0,equal_width,2021-10-08,2021-10-11,0.0712143928035982,1,0
M0,equal_width,2021-10-11,2021-10-12,0.0712143928035982,1,0
M0,equal_width,2021-10-12,2021-10-13,0.0712143928035982,1,0
M0,equal_width,2021-10-13,2021-10-14,0.0712143928035982,1,0
M0,equal_width,2021-10-14,2021-10-15,0.0712143928035982,1,0
M0,equal_width,2021-10-15,2021-10-18,0.0712143928035982,1,0
M0,equal_width,2021-10-18,2021-10-19,0.0712143928035982,1,0
M0,equal_width,2021-10-19,2021-10-20,0.0712143928035982,1,0
M0,equal_width,2021-10-20,2021-10-21,0.0712143928035982,1,0
M0,equal_width,2021-10-21,2021-10-22,0.0712143928035982,1,0
M0,equal_width,2021-10-22,2021-10-25,0.0712143928035982,1,0
M0,equal_width,2021-10-25,2021-10-26,0.0712143928035982,1,0
M0,equal_width,2021-10-26,2021-10-27,0.0712143928035982,1,0
M0,equal_width,2021-10-27,2021-10-28,0.0712143928035982,1,0
M0,equal_width,2021-10-28,2021-10-29,0.0712143928035982,1,0
M0,equal_width,2021-10-29,2021-11-01,0.06904069767441859,1,0
M0,equal_width,2021-11-01,2021-11-02,0.06904069767441859,1,0
M0,equal_width,2021-11-02,2021-11-03,0.06904069767441859,1,0
M0,equal_width,2021-11-03,2021-11-04,0.06904069767441859,1,0
M0,equal_width,2021-11-04,2021-11-05,0.06904069767441859,1,0
M0,equal_width,2021-11-05,2021-11-08,0.06904069767441859,1,0
M0,equal_width,2021-11-08,2021-11-09,0.06904069767441859,1,0
M0,equal_width,2021-11-09,2021-11-10,0.06904069767441859,1,0
M0,equal_width,2021-11-10,2021-11-11,0.06904069767441859,1,0
M0,equal_width,2021-11-11,2021-11-12,0.06904069767441859,1,0
M0,equal_width,2021-11-12,2021-11-15,0.06904069767441859,1,0
M0,equal_width,2021-11-15,2021-11-16,0.06904069767441859,1,0
M0,equal_width,2021-11-16,2021-11-17,0.06904069767441859,1,0
M0,equal_width,2021-11-17,2021-11-18,0.06904069767441859,1,1
M0,equal_width,2021-11-18,2021-11-19,0.06904069767441859,1,1
M0,equal_width,2021-11-19,2021-11-22,0.06904069767441859,1,1
M0,equal_width,2021-11-22,2021-11-23,0.06904069767441859,1,1
M0,equal_width,2021-11-23,2021-11-24,0.06904069767441859,1,1
M0,equal_width,2021-11-24,2021-11-26,0.06904069767441859,1,0
M0,equal_width,2021-11-26,2021-11-29,0.06904069767441859,1,1
M0,equal_width,2021-11-29,2021-11-30,0.06904069767441859,1,0
M0,equal_width,2021-11-30,2021-12-01,0.07122708039492241,1,0
M0,equal_width,2021-12-01,2021-12-02,0.07122708039492241,1,0
M0,equal_width,2021-12-02,2021-12-03,0.07122708039492241,1,0
M0,equal_width,2021-12-03,2021-12-06,0.07122708039492241,1,0
M0,equal_width,2021-12-06,2021-12-07,0.07122708039492241,1,0
M0,equal_width,2021-12-07,2021-12-08,0.07122708039492241,1,0
M0,equal_width,2021-12-08,2021-12-09,0.07122708039492241,1,0
M0,equal_width,2021-12-09,2021-12-10,0.07122708039492241,1,0
M0,equal_width,2021-12-10,2021-12-13,0.07122708039492241,1,0
M0,equal_width,2021-12-13,2021-12-14,0.07122708039492241,1,0
M0,equal_width,2021-12-14,2021-12-15,0.07122708039492241,1,0
M0,equal_width,2021-12-15,2021-12-16,0.07122708039492241,1,0
M0,equal_width,2021-12-16,2021-12-17,0.07122708039492241,1,0
M0,equal_width,2021-12-17,2021-12-20,0.07122708039492241,1,0
M0,equal_width,2021-12-20,2021-12-21,0.07122708039492241,1,0
M0,equal_width,2021-12-21,2021-12-22,0.07122708039492241,1,0
M0,equal_width,2021-12-22,2021-12-23,0.07122708039492241,1,0
M0,equal_width,2021-12-23,2021-12-27,0.07122708039492241,1,0
M0,equal_width,2021-12-27,2021-12-28,0.07122708039492241,1,0
M0,equal_width,2021-12-28,2021-12-29,0.07122708039492241,1,0
M0,equal_width,2021-12-29,2021-12-30,0.07122708039492241,1,0
M0,equal_width,2021-12-30,2021-12-31,0.07122708039492241,1,0
M0,equal_width,2021-12-31,2022-01-03,0.073187414500684,1,0
M0,equal_width,2022-01-03,2022-01-04,0.073187414500684,1,0
M0,equal_width,2022-01-04,2022-01-05,0.073187414500684,1,0
M0,equal_width,2022-01-05,2022-01-06,0.073187414500684,1,0
M0,equal_width,2022-01-06,2022-01-07,0.073187414500684,1,0
M0,equal_width,2022-01-07,2022-01-10,0.073187414500684,1,0
M0,equal_width,2022-01-10,2022-01-11,0.073187414500684,1,0
M0,equal_width,2022-01-11,2022-01-12,0.073187414500684,1,0
M0,equal_width,2022-01-12,2022-01-13,0.073187414500684,1,1
M0,equal_width,2022-01-13,2022-01-14,0.073187414500684,1,1
M0,equal_width,2022-01-14,2022-01-18,0.073187414500684,1,0
M0,equal_width,2022-01-18,2022-01-19,0.073187414500684,1,0
M0,equal_width,2022-01-19,2022-01-20,0.073187414500684,1,0
M0,equal_width,2022-01-20,2022-01-21,0.073187414500684,1,0
M0,equal_width,2022-01-21,2022-01-24,0.073187414500684,1,0
M0,equal_width,2022-01-24,2022-01-25,0.073187414500684,1,0
M0,equal_width,2022-01-25,2022-01-26,0.073187414500684,1,0
M0,equal_width,2022-01-26,2022-01-27,0.073187414500684,1,0
M0,equal_width,2022-01-27,2022-01-28,0.073187414500684,1,0
M0,equal_width,2022-01-28,2022-01-31,0.073187414500684,1,0
M0,equal_width,2022-01-31,2022-02-01,0.07390146471371506,1,0
M0,equal_width,2022-02-01,2022-02-02,0.07390146471371506,1,0
M0,equal_width,2022-02-02,2022-02-03,0.07390146471371506,1,0
M0,equal_width,2022-02-03,2022-02-04,0.07390146471371506,1,0
M0,equal_width,2022-02-04,2022-02-07,0.07390146471371506,1,0
M0,equal_width,2022-02-07,2022-02-08,0.07390146471371506,1,0
M0,equal_width,2022-02-08,2022-02-09,0.07390146471371506,1,1
M0,equal_width,2022-02-09,2022-02-10,0.07390146471371506,1,0
M0,equal_width,2022-02-10,2022-02-11,0.07390146471371506,1,0
M0,equal_width,2022-02-11,2022-02-14,0.07390146471371506,1,0
M0,equal_width,2022-02-14,2022-02-15,0.07390146471371506,1,0
M0,equal_width,2022-02-15,2022-02-16,0.07390146471371506,1,0
M0,equal_width,2022-02-16,2022-02-17,0.07390146471371506,1,0
M0,equal_width,2022-02-17,2022-02-18,0.07390146471371506,1,0
M0,equal_width,2022-02-18,2022-02-22,0.07390146471371506,1,0
M0,equal_width,2022-02-22,2022-02-23,0.07390146471371506,1,0
M0,equal_width,2022-02-23,2022-02-24,0.07390146471371506,1,0
M0,equal_width,2022-02-24,2022-02-25,0.07390146471371506,1,0
M0,equal_width,2022-02-25,2022-02-28,0.07390146471371506,1,0
M0,equal_width,2022-02-28,2022-03-01,0.07337662337662336,1,0
M0,equal_width,2022-03-01,2022-03-02,0.07337662337662336,1,0
M0,equal_width,2022-03-02,2022-03-03,0.07337662337662336,1,0
M0,equal_width,2022-03-03,2022-03-04,0.07337662337662336,1,0
M0,equal_width,2022-03-04,2022-03-07,0.07337662337662336,1,0
M0,equal_width,2022-03-07,2022-03-08,0.07337662337662336,1,0
M0,equal_width,2022-03-08,2022-03-09,0.07337662337662336,1,0
M0,equal_width,2022-03-09,2022-03-10,0.07337662337662336,1,0
M0,equal_width,2022-03-10,2022-03-11,0.07337662337662336,1,0
M0,equal_width,2022-03-11,2022-03-14,0.07337662337662336,1,0
M0,equal_width,2022-03-14,2022-03-15,0.07337662337662336,1,0
M0,equal_width,2022-03-15,2022-03-16,0.07337662337662336,1,0
M0,equal_width,2022-03-16,2022-03-17,0.07337662337662336,1,0
M0,equal_width,2022-03-17,2022-03-18,0.07337662337662336,1,0
M0,equal_width,2022-03-18,2022-03-21,0.07337662337662336,1,0
M0,equal_width,2022-03-21,2022-03-22,0.07337662337662336,1,0
M0,equal_width,2022-03-22,2022-03-23,0.07337662337662336,1,0
M0,equal_width,2022-03-23,2022-03-24,0.07337662337662336,1,0
M0,equal_width,2022-03-24,2022-03-25,0.07337662337662336,1,0
M0,equal_width,2022-03-25,2022-03-28,0.07337662337662336,1,0
M0,equal_width,2022-03-28,2022-03-29,0.07337662337662336,1,0
M0,equal_width,2022-03-29,2022-03-30,0.07337662337662336,1,0
M0,equal_width,2022-03-30,2022-03-31,0.07337662337662336,1,0
M0,equal_width,2022-03-31,2022-04-01,0.07124842370744011,1,0
M0,equal_width,2022-04-01,2022-04-04,0.07124842370744011,1,0
M0,equal_width,2022-04-04,2022-04-05,0.07124842370744011,1,0
M0,equal_width,2022-04-05,2022-04-06,0.07124842370744011,1,0
M0,equal_width,2022-04-06,2022-04-07,0.07124842370744011,1,0
M0,equal_width,2022-04-07,2022-04-08,0.07124842370744011,1,0
M0,equal_width,2022-04-08,2022-04-11,0.07124842370744011,1,0
